iter	CrossEntropy
0	0.6819673223
1	0.6720469424
2	0.6613051105
3	0.6507932055
4	0.6417921807
5	0.6337860536
6	0.6245784383
7	0.6155054952
8	0.6084968491
9	0.6011486915
10	0.5950561989
11	0.5892511627
12	0.5831858607
13	0.5774222482
14	0.5729394066
15	0.5667801586
16	0.5612387371
17	0.5574481432
18	0.552707462
19	0.548580443
20	0.5461449934
21	0.5428081465
22	0.5400212748
23	0.5360916817
24	0.5333713768
25	0.5299330437
26	0.5272642973
27	0.5240195124
28	0.522117393
29	0.5197812289
30	0.5169431784
31	0.5147281243
32	0.5122576214
33	0.5100172114
34	0.5074662055
35	0.5053373755
36	0.5031930768
37	0.5019338317
38	0.5001865611
39	0.498024932
40	0.4967446313
41	0.4954162485
42	0.4946569675
43	0.4932295564
44	0.4920261074
45	0.4906113709
46	0.4893344063
47	0.4880062975
48	0.4870294224
49	0.4854848618
50	0.4847406789
51	0.4835383702
52	0.4826665206
53	0.4820135258
54	0.4808849569
55	0.4796736904
56	0.4788312565
57	0.4784179458
58	0.4775443161
59	0.4764548786
60	0.475097535
61	0.4742819266
62	0.4735720463
63	0.4728971824
64	0.4723989972
65	0.471774817
66	0.4711543271
67	0.4703983486
68	0.4703063707
69	0.4697792477
70	0.4691113385
71	0.4686020597
72	0.4676665389
73	0.4669065289
74	0.466539788
75	0.4659814288
76	0.4655761186
77	0.4649688986
78	0.464469767
79	0.4642767678
80	0.4633639973
81	0.4628256823
82	0.4618531989
83	0.4615063031
84	0.4608054114
85	0.4601508888
86	0.4594695885
87	0.4591389547
88	0.4586644047
89	0.4581609277
90	0.4577770454
91	0.4571515201
92	0.4565584705
93	0.4561179326
94	0.4557125751
95	0.4553473729
96	0.454859119
97	0.4545394313
98	0.4544124437
99	0.4540676267
100	0.4538398446
101	0.4534494229
102	0.4532703763
103	0.4530337886
104	0.4529406851
105	0.4526670819
106	0.4524437993
107	0.4521368935
108	0.4517944681
109	0.451336251
110	0.4509387777
111	0.4506056892
112	0.4503839549
113	0.4502868087
114	0.4500674501
115	0.4498738093
116	0.4495140581
117	0.4492541214
118	0.4491582872
119	0.4488149265
120	0.448397333
121	0.4478336721
122	0.4475919702
123	0.4472556801
124	0.4469147312
125	0.4467416407
126	0.4465246296
127	0.4460878851
128	0.4458055898
129	0.4456187306
130	0.4453331356
131	0.4450581615
132	0.4448278888
133	0.4446012525
134	0.444460172
135	0.4442242252
136	0.4439828795
137	0.4438933478
138	0.4435859826
139	0.4433752226
140	0.4430061445
141	0.4428197447
142	0.4424450131
143	0.4423079664
144	0.4421190516
145	0.4419609609
146	0.4418391597
147	0.441709658
148	0.4414233151
149	0.4412537708
150	0.4410499957
151	0.4406752285
152	0.4403211973
153	0.4401241224
154	0.4399454756
155	0.4397806656
156	0.4396049643
157	0.4394763875
158	0.4394731979
159	0.4392512212
160	0.4391005138
161	0.4389817711
162	0.4387168067
163	0.4386356889
164	0.4384150917
165	0.438211522
166	0.4379658703
167	0.4378006248
168	0.4375518613
169	0.4374389593
170	0.4372508413
171	0.4369777783
172	0.4367466413
173	0.4366584626
174	0.436446557
175	0.4362041389
176	0.4360078442
177	0.4358394282
178	0.4354878437
179	0.4353357799
180	0.4351226898
181	0.4349788523
182	0.4347758246
183	0.4345291944
184	0.4343622483
185	0.4341723099
186	0.4341005004
187	0.4339250807
188	0.4337753668
189	0.433597888
190	0.4334032068
191	0.4333192512
192	0.4331431755
193	0.4329698454
194	0.4328625632
195	0.4327549318
196	0.4326367861
197	0.4325260473
198	0.4322975814
199	0.4322121214
200	0.4320694713
201	0.4320081011
202	0.4318370759
203	0.4317072341
204	0.4316170857
205	0.4314112088
206	0.4313073829
207	0.4311516835
208	0.431024911
