iter	Passed	Remaining
0	63	69746
1	66	36634
2	70	25554
3	73	20075
4	76	16680
5	79	14422
6	81	12765
7	84	11525
8	86	10506
9	89	9763
10	92	9164
11	95	8657
12	98	8242
13	101	7847
14	104	7507
15	106	7222
16	109	6964
17	112	6740
18	115	6531
19	118	6355
20	120	6167
21	123	6025
22	126	5902
23	129	5775
24	132	5665
25	135	5568
26	138	5470
27	140	5381
28	144	5308
29	146	5228
30	149	5156
31	152	5090
32	155	5019
33	158	4962
34	161	4903
35	164	4851
36	167	4802
37	170	4751
38	173	4702
39	175	4649
40	178	4609
41	181	4566
42	183	4509
43	187	4482
44	190	4447
45	193	4421
46	196	4390
47	199	4363
48	202	4332
49	205	4300
50	208	4269
51	210	4239
52	213	4214
53	216	4189
54	219	4164
55	222	4138
56	225	4114
57	228	4090
58	231	4068
59	234	4048
60	237	4025
61	240	4011
62	243	3992
63	246	3982
64	249	3963
65	252	3946
66	256	3936
67	258	3918
68	260	3876
69	262	3857
70	265	3840
71	268	3826
72	271	3809
73	274	3795
74	277	3779
75	280	3764
76	283	3749
77	285	3733
78	288	3720
79	290	3692
80	293	3679
81	296	3666
82	299	3657
83	302	3646
84	305	3632
85	307	3620
86	310	3608
87	313	3597
88	316	3585
89	319	3573
90	322	3560
91	324	3549
92	327	3539
93	330	3526
94	333	3519
95	336	3510
96	339	3501
97	342	3493
98	344	3469
99	347	3461
100	350	3452
101	353	3446
102	356	3436
103	359	3436
104	361	3415
105	364	3407
106	367	3398
107	370	3392
108	373	3384
109	376	3376
110	379	3368
111	381	3359
112	384	3351
113	386	3332
114	389	3322
115	391	3314
116	394	3305
117	397	3296
118	400	3288
119	403	3281
120	405	3272
121	408	3264
122	411	3257
123	414	3250
124	417	3242
125	419	3235
126	422	3227
127	425	3219
128	428	3211
129	430	3204
130	433	3199
131	437	3194
132	440	3189
133	442	3183
134	444	3170
135	448	3165
136	451	3161
137	453	3149
138	456	3144
139	459	3138
140	461	3132
